doctor_id,name,specialization,years_experience,department,availability_status
1,Dr. Singh,Cardiology,33,Surgery,Available
2,Dr. Mehta,Dermatology,3,General,Unavailable
3,Dr. Reddy,Pediatrics,35,Emergency,Unavailable
4,Dr. Gupta,Psychiatry,13,General,Unavailable
5,Dr. Iyer,Orthopedics,23,General,Unavailable
6,Dr. Gupta,Psychiatry,22,General,Available
7,Dr. Iyer,Cardiology,31,OPD,Unavailable
8,Dr. Singh,Dermatology,4,General,Unavailable
9,Dr. Khan,Dermatology,8,Surgery,Available
10,Dr. Reddy,Pediatrics,19,OPD,Available
11,Dr. Iyer,Radiology,0,Emergency,Available
12,Dr. Iyer,Orthopedics,1,Emergency,Unavailable
13,Dr. Mehta,Cardiology,27,General,Unavailable
14,Dr. Reddy,Neurology,22,Surgery,Available
15,Dr. Khan,Psychiatry,37,General,Unavailable
16,Dr. Reddy,Orthopedics,21,Surgery,Unavailable
17,Dr. Joshi,Radiology,33,Surgery,Available
18,Dr. Sharma,Orthopedics,3,Emergency,Unavailable
19,Dr. Khan,Radiology,2,Emergency,Available
20,Dr. Gupta,Cardiology,34,General,Unavailable
21,Dr. Reddy,Dermatology,1,Surgery,Unavailable
22,Dr. Joshi,Radiology,24,Emergency,Unavailable
23,Dr. Sharma,Cardiology,36,General,Unavailable
24,Dr. Joshi,Neurology,20,Surgery,Unavailable
25,Dr. Gupta,Orthopedics,23,OPD,Unavailable
26,Dr. Mehta,Dermatology,9,OPD,Available
27,Dr. Iyer,Radiology,11,OPD,Unavailable
28,Dr. Sharma,Neurology,17,Surgery,Unavailable
29,Dr. Reddy,Cardiology,29,Surgery,Unavailable
30,Dr. Singh,Orthopedics,38,OPD,Available
31,Dr. Das,Cardiology,11,Emergency,Available
32,Dr. Iyer,Neurology,22,OPD,Unavailable
33,Dr. Iyer,Orthopedics,37,General,Available
34,Dr. Reddy,Cardiology,2,General,Unavailable
35,Dr. Iyer,Orthopedics,6,OPD,Available
36,Dr. Reddy,Dermatology,4,General,Available
37,Dr. Patel,Dermatology,17,Surgery,Unavailable
38,Dr. Gupta,Neurology,16,Surgery,Available
39,Dr. Reddy,Dermatology,38,Emergency,Available
40,Dr. Joshi,Psychiatry,38,Surgery,Unavailable
41,Dr. Singh,Neurology,12,OPD,Available
42,Dr. Patel,Cardiology,39,Surgery,Unavailable
43,Dr. Joshi,Pediatrics,22,Emergency,Available
44,Dr. Singh,Radiology,3,Emergency,Available
45,Dr. Iyer,Pediatrics,14,General,Unavailable
46,Dr. Das,Neurology,7,Surgery,Unavailable
47,Dr. Iyer,Psychiatry,32,Emergency,Unavailable
48,Dr. Iyer,Orthopedics,3,Emergency,Available
49,Dr. Iyer,Radiology,28,Emergency,Available
50,Dr. Patel,Psychiatry,28,General,Unavailable
51,Dr. Sharma,Cardiology,8,OPD,Unavailable
52,Dr. Joshi,Pediatrics,23,OPD,Unavailable
53,Dr. Mehta,Orthopedics,19,General,Unavailable
54,Dr. Patel,Cardiology,33,OPD,Unavailable
55,Dr. Das,Cardiology,12,Surgery,Available
56,Dr. Das,Orthopedics,14,Emergency,Unavailable
57,Dr. Sharma,Cardiology,27,Surgery,Unavailable
58,Dr. Das,Dermatology,33,Surgery,Unavailable
59,Dr. Reddy,Radiology,16,OPD,Unavailable
60,Dr. Reddy,Psychiatry,20,OPD,Available
61,Dr. Reddy,Radiology,16,General,Available
62,Dr. Mehta,Pediatrics,11,Surgery,Unavailable
63,Dr. Gupta,Psychiatry,19,Emergency,Available
64,Dr. Gupta,Psychiatry,4,OPD,Unavailable
65,Dr. Gupta,Neurology,35,Surgery,Available
66,Dr. Sharma,Psychiatry,18,Emergency,Available
67,Dr. Sharma,Orthopedics,16,OPD,Unavailable
68,Dr. Joshi,Orthopedics,19,Emergency,Unavailable
69,Dr. Singh,Cardiology,34,Surgery,Unavailable
70,Dr. Iyer,Dermatology,34,General,Available
71,Dr. Das,Psychiatry,34,Surgery,Unavailable
72,Dr. Iyer,Orthopedics,28,Surgery,Unavailable
73,Dr. Joshi,Radiology,11,Surgery,Unavailable
74,Dr. Gupta,Cardiology,39,OPD,Available
75,Dr. Mehta,Orthopedics,22,General,Unavailable
76,Dr. Joshi,Dermatology,27,Emergency,Available
77,Dr. Joshi,Dermatology,0,OPD,Unavailable
78,Dr. Gupta,Dermatology,30,General,Available
79,Dr. Reddy,Psychiatry,13,OPD,Unavailable
80,Dr. Mehta,Cardiology,6,Emergency,Unavailable
81,Dr. Gupta,Pediatrics,18,Emergency,Available
82,Dr. Reddy,Pediatrics,31,Emergency,Unavailable
83,Dr. Mehta,Cardiology,22,Emergency,Available
84,Dr. Singh,Radiology,1,Emergency,Unavailable
85,Dr. Khan,Psychiatry,28,Surgery,Available
86,Dr. Gupta,Orthopedics,32,,Unavailable
87,Dr. Das,Neurology,39,OPD,Unavailable
88,Dr. Sharma,Dermatology,32,Surgery,Available
89,Dr. Khan,Psychiatry,20,Surgery,Available
90,Dr. Reddy,Dermatology,37,Emergency,Available
91,Dr. Patel,Psychiatry,32,OPD,Unavailable
92,Dr. Gupta,Neurology,31,Emergency,Available
93,Dr. Reddy,Psychiatry,17,Surgery,Available
94,Dr. Reddy,Orthopedics,17,OPD,Unavailable
95,Dr. Gupta,Pediatrics,26,Surgery,Available
96,Dr. Patel,Orthopedics,1,Emergency,Available
97,Dr. Das,Radiology,30,OPD,Available
98,Dr. Patel,Neurology,15,General,Available
99,Dr. Khan,Orthopedics,26,Emergency,Unavailable
100,Dr. Reddy,Pediatrics,7,Emergency,Available
101,Dr. Sharma,Radiology,37,Surgery,Unavailable
102,Dr. Sharma,Dermatology,0,General,Unavailable
103,Dr. Singh,Neurology,32,Emergency,Available
104,Dr. Sharma,Neurology,2,General,Unavailable
105,Dr. Joshi,Neurology,14,General,Unavailable
